step,band,calm,loss,candidate_found,expert_a,expert_b,similarity,util_a,util_b,delta_f_pred
0,PANIC,0,8.5118,0,,,,,,
1,PANIC,0,8.5182,0,,,,,,
2,PANIC,0,8.5207,0,,,,,,
3,PANIC,0,8.5147,0,,,,,,
4,PANIC,0,8.5226,0,,,,,,
5,PANIC,0,8.5085,0,,,,,,
6,PANIC,0,8.5022,0,,,,,,
7,PANIC,0,8.4869,0,,,,,,
8,PANIC,0,8.5097,0,,,,,,
9,PANIC,0,8.5107,0,,,,,,
10,PANIC,0,8.5148,0,,,,,,
11,PANIC,0,8.5041,0,,,,,,
12,PANIC,0,8.4871,0,,,,,,
13,PANIC,0,8.5050,0,,,,,,
14,PANIC,0,8.4556,0,,,,,,
15,PANIC,0,8.5245,0,,,,,,
16,PANIC,0,8.5071,0,,,,,,
17,PANIC,0,8.5346,0,,,,,,
18,PANIC,0,8.4229,0,,,,,,
19,PANIC,0,8.4953,0,,,,,,
20,PANIC,0,8.4772,0,,,,,,
21,PANIC,0,8.4688,0,,,,,,
22,PANIC,0,8.4965,0,,,,,,
23,PANIC,0,8.4697,0,,,,,,
24,PANIC,0,8.4125,0,,,,,,
25,PANIC,0,8.4190,0,,,,,,
26,PANIC,0,8.4537,0,,,,,,
27,PANIC,0,8.4232,0,,,,,,
28,PANIC,0,8.4214,0,,,,,,
29,PANIC,0,8.4510,0,,,,,,
30,PANIC,0,8.4411,0,,,,,,
31,PANIC,0,8.3743,0,,,,,,
32,PANIC,0,8.4514,0,,,,,,
33,PANIC,0,8.4157,0,,,,,,
34,PANIC,0,8.4084,0,,,,,,
35,PANIC,0,8.3358,0,,,,,,
36,PANIC,0,8.4673,0,,,,,,
37,PANIC,0,8.4532,0,,,,,,
38,PANIC,0,8.4752,0,,,,,,
39,PANIC,0,8.4746,0,,,,,,
40,PANIC,0,8.4628,0,,,,,,
41,PANIC,0,8.4105,0,,,,,,
42,PANIC,0,8.3469,0,,,,,,
43,PANIC,0,8.4241,0,,,,,,
44,PANIC,0,8.3644,0,,,,,,
45,PANIC,0,8.4666,0,,,,,,
46,PANIC,0,8.4477,0,,,,,,
47,PANIC,0,8.4128,0,,,,,,
48,PANIC,0,8.3255,0,,,,,,
49,PANIC,0,8.3909,0,,,,,,
50,PANIC,0,8.4611,0,,,,,,
51,PANIC,0,8.4293,0,,,,,,
52,PANIC,0,8.3485,0,,,,,,
53,PANIC,0,8.4235,0,,,,,,
54,PANIC,0,8.1845,0,,,,,,
55,PANIC,0,8.4221,0,,,,,,
56,PANIC,0,8.2246,0,,,,,,
57,PANIC,0,8.3137,0,,,,,,
58,PANIC,0,8.4613,0,,,,,,
59,PANIC,0,8.2362,0,,,,,,
60,PANIC,0,8.3257,0,,,,,,
61,PANIC,0,8.3362,0,,,,,,
62,PANIC,0,8.2485,0,,,,,,
63,PANIC,0,8.3474,0,,,,,,
64,PANIC,0,8.1518,0,,,,,,
65,PANIC,0,8.2694,0,,,,,,
66,PANIC,0,8.2333,0,,,,,,
67,PANIC,0,8.4023,0,,,,,,
68,PANIC,0,8.3705,0,,,,,,
69,PANIC,0,8.0804,0,,,,,,
70,PANIC,0,8.4287,0,,,,,,
71,PANIC,0,8.1277,0,,,,,,
72,PANIC,0,8.3414,0,,,,,,
73,PANIC,0,8.2419,0,,,,,,
74,PANIC,0,8.1698,0,,,,,,
75,PANIC,0,8.2592,0,,,,,,
76,PANIC,0,8.1409,0,,,,,,
77,PANIC,0,8.3366,0,,,,,,
78,PANIC,0,8.0682,0,,,,,,
79,PANIC,0,8.3390,0,,,,,,
80,PANIC,0,8.0604,0,,,,,,
81,PANIC,0,8.4406,0,,,,,,
82,PANIC,0,8.0908,0,,,,,,
83,PANIC,0,7.9642,0,,,,,,
84,PANIC,0,8.0538,0,,,,,,
85,PANIC,0,8.1845,0,,,,,,
86,PANIC,0,8.0225,0,,,,,,
87,PANIC,0,8.0950,0,,,,,,
88,PANIC,0,8.2926,0,,,,,,
89,PANIC,0,8.1949,0,,,,,,
90,PANIC,0,7.9831,0,,,,,,
91,PANIC,0,8.2988,0,,,,,,
92,PANIC,0,8.1655,0,,,,,,
93,PANIC,0,8.1725,0,,,,,,
94,PANIC,0,7.9846,0,,,,,,
95,PANIC,0,7.9288,0,,,,,,
96,PANIC,0,8.0074,0,,,,,,
97,PANIC,0,7.8717,0,,,,,,
98,PANIC,0,7.9991,0,,,,,,
99,PANIC,0,8.3811,0,,,,,,
100,PANIC,0,8.0822,0,,,,,,
101,PANIC,0,7.9608,0,,,,,,
102,PANIC,0,8.2061,0,,,,,,
103,PANIC,0,7.8441,0,,,,,,
104,PANIC,0,7.7548,0,,,,,,
105,PANIC,0,7.7221,0,,,,,,
106,PANIC,0,7.9554,0,,,,,,
107,PANIC,0,8.1964,0,,,,,,
108,PANIC,0,7.9666,0,,,,,,
109,PANIC,0,8.0572,0,,,,,,
110,PANIC,0,7.8765,0,,,,,,
111,PANIC,0,7.5235,0,,,,,,
112,PANIC,0,7.5060,0,,,,,,
113,PANIC,0,7.3209,0,,,,,,
114,PANIC,0,7.5988,0,,,,,,
115,PANIC,0,7.8633,0,,,,,,
116,PANIC,0,7.9996,0,,,,,,
117,PANIC,0,7.6909,0,,,,,,
118,PANIC,0,8.1377,0,,,,,,
119,PANIC,0,7.8083,0,,,,,,
120,PANIC,0,7.2378,0,,,,,,
121,PANIC,0,7.4487,0,,,,,,
122,PANIC,0,8.0902,0,,,,,,
123,PANIC,0,7.4221,0,,,,,,
124,PANIC,0,7.7730,0,,,,,,
125,PANIC,0,6.5382,0,,,,,,
126,PANIC,0,7.5273,0,,,,,,
127,PANIC,0,6.9682,0,,,,,,
128,PANIC,0,6.5678,0,,,,,,
129,PANIC,0,6.3024,0,,,,,,
130,STRAIN,0,6.9496,0,,,,,,
131,STRAIN,0,6.4087,0,,,,,,
132,STRAIN,0,6.6578,0,,,,,,
133,STRAIN,0,6.2034,0,,,,,,
134,STRAIN,0,6.4850,0,,,,,,
135,STRAIN,0,6.1078,0,,,,,,
136,STRAIN,0,6.3312,0,,,,,,
137,STRAIN,0,6.2674,0,,,,,,
138,STRAIN,0,6.7549,0,,,,,,
139,STRAIN,0,6.7009,0,,,,,,
140,STRAIN,0,6.7745,0,,,,,,
141,STRAIN,0,6.1195,0,,,,,,
142,STRAIN,0,6.6629,0,,,,,,
143,STRAIN,0,6.2692,0,,,,,,
144,STRAIN,0,5.9315,0,,,,,,
145,STRAIN,0,6.2840,0,,,,,,
146,STRAIN,0,6.0602,0,,,,,,
147,STRAIN,0,5.7073,0,,,,,,
148,STRAIN,0,5.4798,0,,,,,,
149,STRAIN,0,5.5219,0,,,,,,
150,STRAIN,0,6.5945,0,,,,,,
151,STRAIN,0,5.5731,0,,,,,,
152,STRAIN,0,5.7689,0,,,,,,
153,STRAIN,0,5.6377,0,,,,,,
154,STRAIN,0,6.5231,0,,,,,,
155,STRAIN,0,6.6638,0,,,,,,
156,STRAIN,0,6.4146,0,,,,,,
157,STRAIN,0,5.8951,0,,,,,,
158,STRAIN,0,6.1493,0,,,,,,
159,STRAIN,0,6.3852,0,,,,,,
160,STRAIN,0,5.0165,0,,,,,,
161,STRAIN,0,5.6546,0,,,,,,
162,STRAIN,0,5.9929,0,,,,,,
163,STRAIN,0,6.2043,0,,,,,,
164,STRAIN,0,5.4777,0,,,,,,
165,STRAIN,0,5.4287,0,,,,,,
166,STRAIN,0,5.7983,0,,,,,,
167,STRAIN,0,6.2282,0,,,,,,
168,STRAIN,0,5.9507,0,,,,,,
169,STRAIN,0,4.9174,0,,,,,,
170,STRAIN,0,5.7165,0,,,,,,
171,STRAIN,0,5.1627,0,,,,,,
172,STRAIN,0,5.1975,0,,,,,,
173,STRAIN,0,4.5439,0,,,,,,
174,STRAIN,0,5.6688,0,,,,,,
175,STRAIN,0,5.0492,0,,,,,,
176,STRAIN,0,5.8188,0,,,,,,
177,STRAIN,0,4.9742,0,,,,,,
178,STRAIN,0,4.6307,0,,,,,,
179,STRAIN,0,5.7792,0,,,,,,
180,STRAIN,0,5.3419,0,,,,,,
181,STRAIN,0,5.4890,0,,,,,,
182,STRAIN,0,5.8448,0,,,,,,
183,STRAIN,0,4.6113,0,,,,,,
184,STRAIN,0,5.5120,0,,,,,,
185,STRAIN,0,5.4617,0,,,,,,
186,STRAIN,0,5.9710,0,,,,,,
187,STRAIN,0,5.3492,0,,,,,,
188,STRAIN,0,5.3140,0,,,,,,
189,STRAIN,0,5.6723,0,,,,,,
190,STRAIN,0,5.9483,0,,,,,,
191,STRAIN,0,4.9875,0,,,,,,
192,STRAIN,0,4.7306,0,,,,,,
193,STRAIN,0,5.9074,0,,,,,,
194,STRAIN,0,5.3483,0,,,,,,
195,STRAIN,0,5.6539,0,,,,,,
196,STRAIN,0,4.6338,0,,,,,,
197,STRAIN,0,5.4061,0,,,,,,
198,STRAIN,0,6.1383,0,,,,,,
199,STRAIN,0,4.3275,0,,,,,,
200,STRAIN,0,5.2853,0,,,,,,
201,STRAIN,0,4.7268,0,,,,,,
202,STRAIN,0,4.9930,0,,,,,,
203,STRAIN,0,5.6544,0,,,,,,
204,STRAIN,0,4.3361,0,,,,,,
205,STRAIN,0,5.6291,0,,,,,,
206,STRAIN,0,4.5160,0,,,,,,
207,STRAIN,0,5.3467,0,,,,,,
208,STRAIN,0,5.2032,0,,,,,,
209,STRAIN,0,3.7813,0,,,,,,
210,STRAIN,0,4.3264,0,,,,,,
211,STRAIN,0,4.6512,0,,,,,,
212,STRAIN,0,4.4896,0,,,,,,
213,STRAIN,0,4.7428,0,,,,,,
214,STRAIN,0,3.6112,0,,,,,,
215,STRAIN,0,4.7144,0,,,,,,
216,STRAIN,0,4.0300,0,,,,,,
217,STRAIN,0,4.8051,0,,,,,,
218,STRAIN,0,4.3982,0,,,,,,
219,STRAIN,0,5.0831,0,,,,,,
220,STRAIN,0,5.1251,0,,,,,,
221,STRAIN,0,2.8101,0,,,,,,
222,STRAIN,0,3.7972,0,,,,,,
223,STRAIN,0,3.8115,0,,,,,,
224,STRAIN,0,5.7052,0,,,,,,
225,COMFORT,1,3.5968,0,,,,,,
226,COMFORT,2,3.7273,0,,,,,,
