step,similarity,util_a,util_b
100,0.0687,0.2375,0.2417
100,-0.0126,0.2375,0.2292
100,0.0616,0.2375,0.2917
100,0.0728,0.2417,0.2292
100,0.0196,0.2417,0.2917
100,0.0674,0.2292,0.2917
200,0.0687,0.2375,0.2917
200,-0.0126,0.2375,0.2375
200,0.0616,0.2375,0.2333
200,0.0728,0.2917,0.2375
200,0.0196,0.2917,0.2333
200,0.0674,0.2375,0.2333
300,0.0687,0.2875,0.2583
300,-0.0126,0.2875,0.2333
300,0.0616,0.2875,0.2208
300,0.0728,0.2583,0.2333
300,0.0196,0.2583,0.2208
300,0.0674,0.2333,0.2208
400,0.0687,0.2625,0.2458
400,-0.0126,0.2625,0.2333
400,0.0616,0.2625,0.2583
400,0.0728,0.2458,0.2333
400,0.0196,0.2458,0.2583
400,0.0674,0.2333,0.2583
500,0.0687,0.2500,0.2583
500,-0.0126,0.2500,0.2292
500,0.0616,0.2500,0.2625
500,0.0728,0.2583,0.2292
500,0.0196,0.2583,0.2625
500,0.0674,0.2292,0.2625
600,0.0687,0.2625,0.2750
600,-0.0126,0.2625,0.2417
600,0.0616,0.2625,0.2208
600,0.0728,0.2750,0.2417
600,0.0196,0.2750,0.2208
600,0.0674,0.2417,0.2208
700,0.0687,0.2333,0.2292
700,-0.0126,0.2333,0.2542
700,0.0616,0.2333,0.2833
700,0.0728,0.2292,0.2542
700,0.0196,0.2292,0.2833
700,0.0674,0.2542,0.2833
800,0.0687,0.2167,0.2708
800,-0.0126,0.2167,0.2583
800,0.0616,0.2167,0.2542
800,0.0728,0.2708,0.2583
800,0.0196,0.2708,0.2542
800,0.0674,0.2583,0.2542
900,0.0687,0.2250,0.2208
900,-0.0126,0.2250,0.3042
900,0.0616,0.2250,0.2500
900,0.0728,0.2208,0.3042
900,0.0196,0.2208,0.2500
900,0.0674,0.3042,0.2500
